No FSPs;Net;No PFs;Time [s]
2;Ob1;10920;429.2363262
2;Ob1;6996;274.9942617
2;Ob1;5490;215.7973838
2;Ob1;6426;252.5890689
2;Ob1;8092;318.0751238
2;Ob1;12358;485.760304
2;Ob1;6426;252.5890689
2;Ob1;1896;74.52674675
2;Ob1;6889;270.7883747
2;Ob1;6426;252.5890689
2;Ob1;6426;252.5890689
2;Ob1;6372;250.4664717
2;Ob1;6889;270.7883747
2;Ob1;2926;115.0133233
2;Ob1;11152;438.3556328
2;Ob1;5451;214.2643969
2;Ob1;7276;286.0003214
2;Ob1;7028;276.2520971
2;Ob1;2968;116.6642323
